기능그룹,세부 그룹,기능명 (페이지),기능 짧은 desciption,우선순위/논의 사항,확인필요,상태,Function ID
메인화면,프로필 영역,반려동물 프로필,상단 현재 고정된 반려 동물 프로필 영역,매우높음(1순위),,,
온보딩,로그인,소셜 로그인 | 회원가입,"구글, 카카오를 통한 소셜 로그인/회원가입",매우높음(1순위),,,FUNC-001-02
온보딩|회원관리,탈퇴,회원 탈퇴 요청,탈퇴 사유 입력 후 계정 삭제 (마이페이지 내에서 탈퇴 가능),매우낮음(5순위),,,FUNC-001-08
검색,검색 상품 상세 진입,상품 상세 이동,검색 결과의 상품 카드 또는 상품명 선택 시 해당 상품의 상품 상세 화면으로 이동,높음(2순위),,,
메인화면,배너 광고,배너 상세 진입,배너 선택 시 설정된 상품/이벤트/콘텐츠 상세 화면으로 이동 (해당 부분은 정적 data를 이용할 예정입니다(MVP 기준),낮음(4순위),,,
메인화면,카테고리별 화면,상품 목록 조회 (카테고리별),메인 화면에 상품 목록 조회 | 상단 카테고리를 눌렀을 때 나타나는 뷰,높음(2순위),,,
메인화면,상품 리스트,상품 상세 진입,상품 선택 시 해당 상품의 상세 화면으로 이동,매우높음(1순위),,,
메인화면,상품 추천,상품 추천 화면 진입,추천 상품 화면으로 이동,높음(2순위),,,
메인화면,프로필 영역,반려동물 프로필 전환,반려 동물 프로필 선택 시 → 추가되어 있는 다른 프로필로 전환 가능,보통(3순위),,,
메인화면,프로필 영역,반려동물 프로필 추가,프로필 영역의 ‘추가’ 버튼을 누르는 경우,,,,
메인화면,최근 구매 상품,최근 구매 상품 상태 체크,최근 구매 상품 영역,높음(2순위),,,
상품 상세,추가 정보,경로/상품 특징에 따른 추가 정보,추천/타임딜 등 상세 진입 경로에 따라 추가 정보 조건부 제공,보통(3순위),,,
메인화면,상품 추천,추천 상품 찜 등록/해제,추천 상품 ‘좋아요’,,,,
상품 상세,상품 공유,상품 공유 버튼,상품 상세 페이지 공유,매우낮음(5순위),,,
상품 비교,구매,장바구니 담기,비교 화면 내 선택한 상품 장바구니에 추가,높음(2순위),,,
상품 상세,함께 보면 좋은 상품,함께 보면 좋은 상품,,낮음(4순위),,,
상품 상세,상품 정보TAB,"상품정보Tab 상품 상세정보 조회 ","원재료, 제품 유형, 용량, 급여 대상, 제조사/브랜드, 원산지 등",매우높음(1순위),,,
상품 상세,배송 정보,상품 배송 정보,정적 데이터,낮음(4순위),,,
상품 상세,리뷰 TAB,리뷰 조회,상품 상페 페이지 내에서의 리뷰 조회 → ‘리뷰’ 카테고리 확인 (리뷰 탭),높음(2순위),,,
메인화면,최근 구매 상품,상태체크-바텀시트,바텀 시트 영역,높음(2순위),,,
상품 상세,프로필,반려동물 프로필,현재 상품 분석 기준이 되는 선택된 반려동물 프로필,높음(2순위),,,
상품 상세,상품 비교,상품 비교 버튼,상품 비교 페이지로 이동,높음(2순위),,,
상품 상세,재입고,재입고 알림 신청,품절일 경우 장바구니/바로 구매 버튼 → 재입고 알림 신청 버튼,낮음(4순위),,,
상품 상세,Q&A TAB,Q&A 탭,,낮음(4순위),,,
상품 상세,"옵션 선택 ",옵션 선택 바텀시트,,보통(3순위),,,
리뷰,맞춤 리뷰 필터,내 반려동물 맞춤 리뷰 필터,"현재 선택된 반려 동물 프로필 기준, 유사 조건의 반려 동물이 작성한 리뷰 필터링",보통(3순위),,,
