기능그룹,세부 그룹,기능명 (페이지),기능 짧은 desciption,논의 필요,우선순위,상태,Function ID
마이페이지홈,홈,"주문/배송 내역 진입 ",터치 시 '마이페이지_주문/배송 내역 화면'으로 이동,,매우높음(1순위),,
마이페이지홈,홈,결제 수단 관리 진입,,,매우높음(1순위),,
마이페이지홈,,,,,,,
마이페이지홈,홈,알림 화면 진입,터치 시 '마이페이지_알림 화면'으로 이동,,보통(3순위),,
마이페이지홈,홈,장바구니 화면 진입,터치 시 '마이페이지_장바구니 화면'으로 이동,,매우높음(1순위),,
마이페이지홈,홈,재입고 알림 진입,,,매우높음(1순위),,
마이페이지홈,홈,나의 상품 후기 진입,,,매우높음(1순위),,
마이페이지홈,홈,고객센터 진입,,,매우높음(1순위),,
마이페이지홈,홈,서비스 안내 진입,,,매우높음(1순위),,
마이페이지홈,홈,설정 진입,,,매우높음(1순위),,
장바구니,,,,,,,
장바구니,장바구니,장바구니 옵션 변경,,,,,
결제,,,,,,,
결제,결제,배송 요청사항 설정,,"PD 논의, 논의 완료",보통(3순위),,
내 정보 관리,,,,,,,
내 정보 관리,배송지 관리,배송지 주소 검색,,"PD 논의, 논의 완료",높음(2순위),,
반려동물 프로필,,,,,,,
주문관리,,,,,,,
주문관리,재입고 알림,재입고 알림,"PUSH 알림, 재입고 여부","PD 논의, 논의 완료",보통(3순위),,
주문관리,재입고 알림,재입고 상품 수정하기,,,보통(3순위),,
주문관리,주문 관리,주문 취소,,,매우높음(1순위),,
주문관리,주문 관리,반품/교환,,"PD 논의, 논의 완료",매우높음(1순위),,
리뷰 관리,,,,,,,
기타 활동/ 지원,,,,,,,
기타 활동/ 지원,설정,테마 설정,,"PD 논의, 논의 완료",논의필요,,
기타 활동/ 지원,설정,알림 설정,,"PD 논의, 논의 완료",논의필요,,
기타 활동/ 지원,서비스 안내,개인 정보 처리 방침 조회,,"PD 논의, 논의 완료",매우낮음(5순위),,
기타 활동/ 지원,서비스 안내,마케팅 정보 수신 약관 조회,,"PD 논의, 논의 완료",매우낮음(5순위),,
기타 활동/ 지원,서비스 안내,서비스 이용약관 조회,,"PD 논의, 논의 완료",매우낮음(5순위),,
기타 활동/ 지원,고객 지원,1:1 문의 작성,,"PD 논의, 논의 완료",낮음(4순위),,
기타 활동/ 지원,고객 지원,1:1 문의 내역 조회,,"PD 논의, 논의 완료",매우낮음(5순위),,
기타 활동/ 지원,알림,알림 상세 화면 이동,,"PD 논의, 논의 완료",낮음(4순위),,
기타 활동/ 지원,알림,알림 목록 조회,,,낮음(4순위),,
기타 활동/ 지원,나의 활동,최근 본 상품 조회,,"PD 논의, 논의 완료",매우낮음(5순위),,
반려동물 프로필,프로필,반려동물 프로필 추가,온보딩 화면과 동일,"PD 논의, PM 논의, 논의 완료",낮음(4순위),,
반려동물 프로필,프로필,반려동물 프로필 수정,,"PD 논의, 논의 완료",보통(3순위),,
반려동물 프로필,프로필,상품별 반려동물 기록,상품 별 간단한 기호성 질문,"PD 논의, 논의 완료",매우높음(1순위),,
주문관리,주문 관리,주문/배송 목록 조회,,,높음(2순위),,
주문관리,주문 관리,주문 상세 조회,,"PD 논의, 논의 완료",높음(2순위),,
주문관리,주문 관리,구매 확정,확인 시 주문 상태를 '구매확정'으로 즉시 전환,"PD 논의, 논의 완료",높음(2순위),,
주문관리,주문 관리,주문 문의 작성,문의 내역 및 문의 추가 시 문의 노션 페이지로 연결,,매우낮음(5순위),,
결제,결제,주문 배송지 설정,터치 시 '마이페이지_배송지 변경 바텀시트' 이동,"PD 논의, 논의 완료",보통(3순위),,
결제,결제,결제 수단 선택,토스페이먼츠 선택되어 있음,,매우높음(1순위),,
결제,결제,결제 정보 조회,"[표시] 총 판매금액, 배송비, 총 결제금액",,매우높음(1순위),,
결제,결제,주문 결제,터치 시 '토스페이먼츠 결제 화면(타사)'으로 연결,"PD 논의, 논의 완료",매우높음(1순위),,
결제,결제,결제 완료 정보 조회,"[표시] 주문번호, 배송지, 제품명, 예상배송일, 결제정보","PD 논의, 논의 완료",매우높음(1순위),,
장바구니,장바구니,장바구니 상품 조회,터치 시 ‘검색_상품 상세 화면’ 혹은 ‘상품 추천_상품 추천 상세 화면’으로 이동,"PD 논의, 논의 완료",높음(2순위),,
장바구니,장바구니,장바구니 상품 전체 선택,터치 시 장바구니에 담긴 상품 결제 금액에 반영,"PD 논의, 논의 완료",높음(2순위),,
장바구니,장바구니,장바구니 상품 개별 선택,터치 시 개별 상품별로 결제 금액에 반영,,높음(2순위),,
장바구니,장바구니,장바구니 상품 수량 변경,버튼으로 상품 수량 증감,"PD 논의, 논의 완료",보통(3순위),,
장바구니,장바구니,장바구니 상품 삭제,터치 시 장바구니 리스트에서 제외,,높음(2순위),,
장바구니,장바구니,선택된 상품 결제 진행,터치 시 '마이페이지_결제 화면'으로 이동,,매우높음(1순위),,
리뷰 관리,리뷰 관리,작성 가능 리뷰 조회,,,보통(3순위),,
리뷰 관리,리뷰 관리,리뷰 작성,,,보통(3순위),,
리뷰 관리,리뷰 관리,작성한 리뷰 조회,,,보통(3순위),,
리뷰 관리,리뷰 관리,작성한 리뷰 상세 조회,,"PD 논의, 논의 완료",보통(3순위),,
